,input_volume,output_volume,peak_meamory
0,0.0007801055908203125,0.06218242645263672,17.173828125
1,0.0007801055908203125,0.062030792236328125,17.173828125
2,0.0015277862548828125,0.12457942962646484,17.173828125
3,0.0015277862548828125,0.1242055892944336,17.173828125
4,0.0015277862548828125,0.1237344741821289,17.173828125
5,0.0030231475830078125,0.24877357482910156,17.173828125
6,0.0008373260498046875,0.06554889678955078,17.173828125
7,0.001476287841796875,0.1112375259399414,17.173828125
8,0.001476287841796875,0.11017799377441406,17.173828125
9,0.00047588348388671875,0.04134654998779297,17.173828125
