,input_volume,output_volume,peak_meamory
0,0.00022983551025390625,14.457868576049805,36.93359375
1,0.000278472900390625,26.589466094970703,36.93359375
2,0.00034046173095703125,20.506644248962402,33.3359375
3,0.0009784698486328125,87.18617916107178,47.51123046875
4,0.0009784698486328125,87.18617916107178,45.85693359375
5,0.00019359588623046875,24.56232452392578,38.26806640625
6,0.0005750656127929688,35.447641372680664,37.39892578125
7,0.0001163482666015625,7.826271057128906,30.38720703125
8,0.000255584716796875,86.20125102996826,114.390625
9,0.0006265640258789062,4.44057559967041,31.70654296875
